matname,bandgap,totd,fom
mp-19037_K2W2O7,4.0556,18.832392666666667,76.37665169893334
mp-19039_CdMoO4,3.7321999999999997,16.137054000000003,60.226712938800006
mp-19048_BaWO4,7.1754999999999995,8.850276666666666,63.50516022166666
mp-19083_NaVO3,5.7033,6.818785666666667,38.889580292699996
mp-19098_Ba2CaWO6,4.6526,26.69578266666667,124.20479843493334
mp-19116_Sr2CaMoO6,3.8768,23.886065333333335,92.60149808426667
mp-19123_Rb2LiVO4,6.9793,8.114420333333333,56.632973832433336
mp-19133_YVO4,4.802099999999999,11.408516999999998,54.78483948569998
mp-19144_Rb2W2O7,4.1155,16.09042433333333,66.22014134383332
mp-19162_LaVO4,4.9328,12.004912,59.2178299136
mp-19163_SrWO4,6.8007,9.412395666666667,64.0108792103
mp-19212_Rb2MoO4,7.3289,7.205725666666666,52.810042838433326
mp-19215_CaCrO4,4.3211,8.545779666666666,36.92716851763333
mp-19219_Li3VO4,6.7951999999999995,6.726689666666666,45.70920162293333
mp-19232_K2CrO4,5.9666999999999994,7.952383,47.4494836461
mp-19247_ScVO4,4.0851999999999995,17.503031333333336,71.50338360293334
mp-19260_Li2WO4,5.7178,14.581688666666667,83.37517945826667
mp-19276_BaMoO4,6.153599999999999,9.571713333333333,58.90049516799999
mp-19302_NaCaVO4,6.2263,12.062644333333333,75.10564241263333
mp-19324_Ca2MgWO6,5.2136,19.63060966666667,102.34614655813333
mp-19330_CaMoO4,5.1434999999999995,12.159914666666666,62.54452108799999
mp-19363_HgMoO4,3.372,13.886452666666665,46.82511839199999
mp-19365_Ba3V2O8,5.8594,37.740374333333335,221.13594936873335
mp-19387_CdWO4,4.5189,14.776089999999998,66.77167310099999
mp-19420_Sr2MgWO6,4.8318,21.413865666666666,103.4675161282
mp-19426_CaWO4,6.2090000000000005,11.666635,72.438136715
mp-19432_KNaV2O6,5.7498000000000005,6.965265333333332,40.04888261359999
mp-19447_Cs2NaVO4,6.7461,8.528017666666667,57.5308599811
mp-19449_NaVCdO4,5.2351,13.087407666666666,68.51388787576666
mp-19450_ScTl(MoO4)2,5.173500000000001,35.16448,181.92343728
mp-1960_Li2O,8.2887,7.373725,61.118594407500005
mp-19803_CdIn2O4,2.7218,10.424275999999999,28.372794416799998
mp-19926_La2Be2GeO7,6.5091,13.500100333333334,87.8735030797
mp-19970_Li3CuO3,3.1885,16.355252333333333,52.14872206483333
mp-20015_As2PbO6,3.9249000000000005,16.805282000000002,65.95905132180002
mp-20072_LaCuO2,4.3431,11.946442333333332,51.88459369789999
mp-20088_Na4PbO4,3.7143,7.977765000000001,29.631812539500004
mp-20098_Ba2PbO4,2.6636,33.207372,88.4511560592
mp-20222_Sr2NbInO6,5.3659,24.079073666666662,129.20590138796663
mp-20352_Ba3In2O6,2.5153999999999996,29.61158,74.484968332
mp-20459_TiPbO3,2.3742000000000005,97.52221700000001,231.53724760140008
mp-20489_SrPbO3,1.7071999999999998,22.97419933333333,39.22155310186666
mp-20496_Ga2PbO4,5.2946,24.258852333333333,128.44091956406666
mp-20546_Ba2In2O5,2.6029,13.846658333333332,36.04146697583333
mp-20564_V2Pb3O8,3.9679,29.922289666666668,118.72865316836668
mp-20678_NaIn(WO4)2,5.1475,11.720911666666666,60.333392804166664
mp-20694_K2Pb2O3,2.4279,10.107800000000001,24.540727620000006
mp-20727_Sb2PbO6,3.5384,15.240279999999998,53.926206752
mp-20944_Sr2PbO4,2.989,13.049366000000001,39.004554974
mp-21084_In6Ga2PtO8,1.4745,15.235074,22.464116612999998
mp-21137_Ca2PbO4,3.1038000000000006,13.985211666666666,43.40729997100001
mp-21138_MoPb2O5,3.8052,21.34807766666667,81.2337051372
mp-2133_ZnO,3.1484,8.726030333333334,27.47303390146667
mp-2136_Sb2O3,3.0061,89.05549366666668,267.7097195113667
mp-21461_Rb2PbO3,3.5368,9.483203000000001,33.54019237040001
mp-21521_Cs2PbO3,3.5694999999999997,14.109075666666667,50.36234559216666
mp-21879_Ba2CePtO6,2.8753,20.911952,60.1281355856
mp-21892_Al2PbO4,6.0424999999999995,18.062960333333333,109.14543781416666
mp-22169_MoPbO4,3.37,23.414477333333334,78.90678861333333
mp-22170_Li4PbO4,3.5103999999999997,8.794593,30.8725392672
mp-22186_In6Ge2PtO9,2.3949,17.009151000000003,40.735215729900005
mp-22313_Na2PtO2,3.6059999999999994,8.458275333333333,30.500540851999993
mp-22328_K4PbO4,4.4668,7.705241666666667,34.41777347666667
mp-22355_Sr2InSbO6,3.9493,15.231601333333336,60.15416314573334
mp-22443_VInO4,5.1493,8.650996666666666,44.546577135666666
mp-22450_Li2PbO3,2.4227999999999996,28.474435666666665,68.98786273319999
mp-22633_Pb3O4,2.1612,16.548376,35.764350211200004
mp-22766_CaIn2O4,4.3244,8.874633,38.377462945199994
mp-22984_NaBiO2,1.8904999999999994,18.575443,35.11687499149999
mp-23018_BiSbO4,4.262,21.621335,92.15012976999998
mp-23054_NaBiO3,2.997,9.985580666666666,29.926785257999995
mp-230_SbO2,3.3436000000000003,18.860527333333334,63.06205919173334
mp-23127_Ba2BiSbO6,2.9361,27.165613666666662,79.76095828669999
mp-23136_KBi(WO4)2,3.8069999999999995,27.293878666666668,103.907796084
mp-23262_Bi2O3,3.1369,31.862012000000004,99.9479454428
mp-23341_Bi2Pt2O7,1.5286999999999997,25.774345,39.40124120149999
mp-23426_Al4Bi2O9,4.447100000000001,13.983358666666666,62.18539432653334
mp-23558_Ag2BiO3,0.8470000000000004,24.586963,20.82515766100001
mp-23571_KBa4Bi3O,1.2735000000000003,17.205589,21.911317591500005
mp-23582_KLi6BiO6,3.8761,10.170755333333334,39.42286474753334
mp-2472_SrO,5.5625,19.476069,108.33563381249999
mp-25279_V2O5,2.8013999999999997,20.026049,56.10097366859999
mp-2542_BeO,11.0232,7.055082333333334,77.7695835768
mp-2605_CaO,6.1487,15.996846,98.3598070002
mp-27197_Na4As2O7,7.401,5.8621620000000005,43.385860962
mp-27219_Mg(SbO2)2,3.7887999999999997,10.496033333333333,39.76737109333333
mp-27227_LiAg3O2,1.7203,10.749876,18.4930116828
